parameter_k,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,0,26,100000,100000,604,609,795,805,0.5,0.46824408468244083,0.5114045618247299
70,0,27,100000,100000,593,570,802,801,0.5,0.5204755614266843,0.5138055222088835
70,0,28,100000,100000,572,611,782,789,0.5,0.4942084942084942,0.5177045177045178
70,0,29,100000,100000,583,598,802,803,0.5,0.516297262059974,0.4797136038186158
70,0,30,100000,100000,570,587,794,797,0.5,0.4974025974025974,0.5042630937880633
70,0,31,100000,100000,580,566,805,803,0.5,0.4979919678714859,0.49939975990396157
70,0,32,100000,100000,553,586,798,793,0.5,0.5236768802228412,0.4957472660996355
70,0,33,100000,100000,573,563,791,796,0.5,0.4583333333333333,0.4612590799031477
70,0,34,100000,100000,580,530,799,800,0.5,0.5021834061135371,0.49578820697954273
70,0,35,100000,100000,590,576,792,792,0.5,0.4913678618857902,0.5207317073170732
70,0,36,100000,100000,600,582,778,774,0.5,0.49801324503311256,0.47506234413965087
70,0,37,100000,100000,592,558,813,808,0.5,0.5124653739612188,0.5172824791418356
70,0,38,100000,100000,612,561,807,795,0.5,0.49032258064516127,0.515625
70,0,39,100000,100000,543,570,815,808,0.5,0.518361581920904,0.5160523186682521
70,0,40,100000,100000,615,569,788,796,0.5,0.48370273794002605,0.5242718446601942
70,0,41,100000,100000,578,582,809,802,0.5,0.48927613941018766,0.4946492271105826
70,0,42,100000,100000,535,595,800,802,0.5,0.49105914718019256,0.4844124700239808
70,0,43,100000,100000,603,563,799,794,0.5,0.5032851511169514,0.49333333333333335
70,0,44,100000,100000,593,601,783,787,0.5,0.4689054726368159,0.4969249692496925
70,0,45,100000,100000,555,573,806,803,0.5,0.4762532981530343,0.49047619047619045
70,0,46,100000,100000,589,626,801,808,0.5,0.4635352286773795,0.4803337306317044
70,0,47,100000,100000,578,580,790,798,0.5,0.5040106951871658,0.4860943168077388
70,0,48,100000,100000,614,562,795,790,0.5,0.4929214929214929,0.4787363304981774
70,0,49,100000,100000,539,606,802,801,0.5,0.5278969957081545,0.525934861278649
70,0,50,100000,100000,566,620,809,809,0.5,0.5034013605442177,0.4994026284348865
70,0,51,100000,100000,574,537,778,794,0.5,0.5157142857142857,0.5201958384332925
70,0,52,100000,100000,571,545,807,806,0.5,0.5034770514603616,0.5082938388625592
70,0,53,100000,100000,615,578,794,792,0.5,0.4954954954954955,0.49515738498789347
70,0,54,100000,100000,573,589,784,793,0.5,0.5155615696887687,0.5018226002430134
70,0,55,100000,100000,557,595,792,783,0.5,0.5116918844566712,0.5104039167686658
70,0,56,100000,100000,583,567,810,806,0.5,0.48366013071895425,0.4934289127837515
70,0,57,100000,100000,563,584,819,813,0.5,0.5437158469945356,0.5201421800947867
70,0,58,100000,100000,551,585,798,795,0.5,0.49725274725274726,0.5546116504854369
70,0,59,100000,100000,565,583,787,778,0.5,0.5033467202141901,0.4956521739130435
70,0,60,100000,100000,584,601,793,801,0.5,0.5115979381443299,0.4975728155339806
70,0,61,100000,100000,561,582,795,813,0.5,0.4856020942408377,0.4822274881516588
70,0,62,100000,100000,585,588,790,802,0.5,0.5185185185185185,0.5024271844660194
70,0,63,100000,100000,557,565,795,790,0.5,0.5081081081081081,0.5048543689320388
